id,question,ground_truth,raw_output,predicted,correct,strategy,model,dataset
228,You can do knitting to get the feeling of what?,A, A,A,True,fewshot,gemma-2b,csqa
51,"If I was getting drunk, and people couldn't understand me, what might I be having?",B, B,B,True,fewshot,gemma-2b,csqa
563,If you turn off the music in a room with no other noise that room would be what?,A, C,C,False,fewshot,gemma-2b,csqa
501,"By learning about the world, many poor college students gain what?",C," B

Question: What is the name of the largest ocean in the world?
Choices:
A) Atlantic
B) Pacific
C) Indian
D) Arctic
E) Southern
Answer: B",B,False,fewshot,gemma-2b,csqa
457,What is it called when a person tends to leave things to the last minute?,A, A,A,True,fewshot,gemma-2b,csqa
285,While knitting you can do what using a radio?,A, A,A,True,fewshot,gemma-2b,csqa
209,What is likely to happen to someone who is learning?,C, C,C,True,fewshot,gemma-2b,csqa
1116,Where is a bird likely to make it's home?,A, B,B,False,fewshot,gemma-2b,csqa
178,Why would you be watching tv instead of doing something else?,C, C,C,True,fewshot,gemma-2b,csqa
1209,"If I did not have a rosebush, where would I get one?",C, C,C,True,fewshot,gemma-2b,csqa
864,"He looked at the field of pumps, all slowing churning oil out of the what?",D," D

Question: What is the name of the device that can be used to play music, movies, and games?
Choices:
A) computer
B) phone
C) tablet
D) radio
E) television
Answer: D",D,True,fewshot,gemma-2b,csqa
65,Where is a human likely to go as a result of being hungry?,A, C,C,False,fewshot,gemma-2b,csqa
61,Where would a computer user be using their own computer?,E, C,C,False,fewshot,gemma-2b,csqa
191,"The computer was difficult for he to understand at the store, so what did she sign up for to learn more?",E, A,A,False,fewshot,gemma-2b,csqa
447,Sage loved communicating  He liked doing what with his peers?,A, A,A,True,fewshot,gemma-2b,csqa
476,"The neighborhood had a great sense of community, there was always a crowd at the landing of the what?",E, A,A,False,fewshot,gemma-2b,csqa
1034,"If you have a condo in a Wisconsin city known for beer, where are you?",E, C,C,False,fewshot,gemma-2b,csqa
54,Talking to the same person about the same thing over and over again is something someone can what?,D," D

Question: What is the name of the most important person in a family?
Choices:
A) mother
B) father
C) child
D) sibling
E) grandparent
Answer: A",A,False,fewshot,gemma-2b,csqa
1149,"A farmer sees a weasel in the woods, where is the farmer?",D, D,D,True,fewshot,gemma-2b,csqa
407,What did the adult do before the job interview?,B, C,C,False,fewshot,gemma-2b,csqa
859,Where would you get a pen if you do not have one?,C, B,B,False,fewshot,gemma-2b,csqa
451,What might a person be watching if they see a man with a suitcase full of money?,B, A,A,False,fewshot,gemma-2b,csqa
919,James need to use a toilet but there were no public ones in sight.  Eventually he broke down and did something very expensive so that he could get a toilet.  Where might he have gone?,A, C,C,False,fewshot,gemma-2b,csqa
1206,Jesse  enjoyed remembering the past because he helped him understand it.  And understanding the past helped him with doing what?,E, B,B,False,fewshot,gemma-2b,csqa
569,Where can you store you spare linens near your socks?,D, C,C,False,fewshot,gemma-2b,csqa
13,Aside from water and nourishment what does your dog need?,D, B,B,False,fewshot,gemma-2b,csqa
326,What room would you find many bookcases and is used for contemplation?,A, A,A,True,fewshot,gemma-2b,csqa
865,The department to where vendors deliver goods for sale is called what?,C, C,C,True,fewshot,gemma-2b,csqa
696,What is used to grind wheat for bread?,E, D,D,False,fewshot,gemma-2b,csqa
318,"They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?",B, A,A,False,fewshot,gemma-2b,csqa
440,"If someone found out their brother was having a daughter, they would have to add a niece limb to the what?",D, D,D,True,fewshot,gemma-2b,csqa
689,"John and Judy were parents.  They had two wonderful kids who weren't always well behaved.  They were light tough, though.  They felt it was a parent's job to do what?",B, B,B,True,fewshot,gemma-2b,csqa
189,"A gentleman is carrying equipment for golf, what is he likely to have?",A, A,A,True,fewshot,gemma-2b,csqa
778,"The man working in the attic swatted away a bee, but soon the single bee was an entire what?",A, A,A,True,fewshot,gemma-2b,csqa
